symbol,exchange,name,sector,industry,slug
MMMCL,Santiago,3M,Industrials,Industrial Conglomerates,3m-co?cid=1180882
HABITAT,Santiago,A.F.P. Habitat,Financial,Capital Markets,a.f.p.-habitat
PROVIDA,Santiago,A.F.P. Provida,Financial,Capital Markets,a.f.p.-provida
ABTCL,Santiago,Abbott Labs,Healthcare,Health Care Equipment & Supplies,abbott-laboratories?cid=1180845
ABT,Santiago,Abbott Labs,Healthcare,Health Care Equipment & Supplies,abbott-laboratories?cid=1161674
AESANDES,Santiago,AES Gener,Utilities,Independent Power and Renewable Electricity Producers,aesgener
AFPCAPITAL,Santiago,AFP Capital,Financial,Capital Markets,afp-capital
AGUASA,Santiago,Aguas Andinas,Utilities,Water Utilities,aguas-andinas
AIG,Santiago,AIG,Financial,Insurance,american-intl-group?cid=1161673
ALMENDRAL,Santiago,Almendral,Communication Services,Wireless Telecommunication Services,almendral
GOOGL,Santiago,Alphabet A,Communication Services,Interactive Media & Services,google-inc?cid=1161685
GOOGCL,Santiago,Alphabet C,Communication Services,Interactive Media & Services,google-inc-c?cid=1180867
GOOG,Santiago,Alphabet C,Communication Services,Interactive Media & Services,google-inc-c?cid=1161687
AMZNCL,Santiago,Amazon.com,Consumer Discretionary,Internet & Direct Marketing Retail,amazon-com-inc?cid=1180842
AMZN,Santiago,Amazon.com,Consumer Discretionary,Internet & Direct Marketing Retail,amazon-com-inc?cid=1161670
AXPCL,Santiago,American Express,Financial,Consumer Finance,american-express?cid=1180844
AXP,Santiago,American Express,Financial,Consumer Finance,american-express?cid=1161671
ANTARCHILE,Santiago,Antar Chile,Industrials,Industrial Conglomerates,antar-chile
AAPLCL,Santiago,Apple,Information Technology,"Technology Hardware, Storage & Peripherals",apple-computer-inc?cid=1180843
AAPL,Santiago,Apple,Information Technology,"Technology Hardware, Storage & Peripherals",apple-computer-inc?cid=1161672
AQUACHILE,Santiago,Aquachile,Consumer Staples,Food Products,aquachile
T,Santiago,AT&T,Communication Services,Diversified Telecommunication Services,at-t?cid=1055341
AXXION,Santiago,Axxion,Financial,Capital Markets,axxion-sa
AZULAZUL,Santiago,Azul Azul Sa,Communication Services,Entertainment,azul-azul-sa
CHILE,Santiago,Banco De Chile (SN),Financial,Banks,banco-de-chile-(sn)
BCI,Santiago,Banco de Credito e Inversiones,Financial,Banks,bci-(sn)
BINT,Santiago,Banco Internacional SA,Financial,Banks,banco-internacional-sa
BACCL,Santiago,Bank of America,Financial,Banks,bank-of-america?cid=1180849
BAC,Santiago,Bank of America,Financial,Banks,bank-of-america?cid=1055317
BANVIDA,Santiago,Banvida,Financial,Insurance,banvida
BESALCO,Santiago,Besalco Sa,Industrials,Construction & Engineering,besalco-sa
BETLANDOS,Santiago,Betlan Dos,Financial,Capital Markets,betlan-dos-sa
BICECORP,Santiago,Bicecorp,Financial,Diversified Financial Services,bicecorp
BIIB,Santiago,Biogen,Healthcare,Biotechnology,biogen-idec-inc?cid=1161677
COLOCOLO,Santiago,Blanco Y Negro,Communication Services,Entertainment,blanco-y-negro
BLUMAR,Santiago,Blumar,Consumer Staples,Food Products,blumar
BACL,Santiago,Boeing,Industrials,Aerospace & Defense,boeing-co?cid=1180848
