symbol,exchange,name,sector,industry,slug
TGTG,XETRA,11 88 0 Solutions,Industrials,Commercial Services & Supplies,telegate-ag
1U1,XETRA,11 AG,Communication Services,Wireless Telecommunication Services,drillisch
123F,XETRA,123fahrschule SE,Consumer Discretionary,Diversified Consumer Services,123fahrschule-se
2GBG,XETRA,2G energy,Industrials,Electrical Equipment,2g-energy-ag
2INVn,XETRA,2Invest,Healthcare,Biotechnology,sygnis-pharma-ag
MMM,XETRA,3M,Industrials,Industrial Conglomerates,3m-co?cid=29418
UUUG,XETRA,3U Holding AG,Industrials,Industrial Conglomerates,3u-holding-ag
VSCk,XETRA,4Sc AG,Healthcare,Biotechnology,4sc-ag?cid=962854
HRPKk,XETRA,7C Solarparken,Utilities,Independent Power and Renewable Electricity Producers,7c-solarparken-ag
AAQ1k,XETRA,Aap Implantate AG,Healthcare,Health Care Equipment & Supplies,aap-implantate-ag
ARLG,XETRA,Aareal Bank AG,Financial,Thrifts & Mortgage Finance,aareal-bank?cid=1073858
ABT,XETRA,Abbott Labs,Healthcare,Health Care Equipment & Supplies,abbott-laboratories?cid=963489
ABOG,XETRA,ABO Invest,Utilities,Independent Power and Renewable Electricity Producers,abo-invest-ag?cid=1176369
AB9,XETRA,ABO Wind,Utilities,Independent Power and Renewable Electricity Producers,abo-wind-ag?cid=1173163
YOUG,XETRA,ABOUT YOU Holding AG,Consumer Discretionary,Internet & Direct Marketing Retail,about-you-holding-ag
AO1B,XETRA,Accell,Consumer Discretionary,Leisure Products,accell?cid=1163901
A4Y,XETRA,Accentro Real Estate,Real Estate,Real Estate Management & Development,estavis-ag?cid=962888
APME,XETRA,AD Pepper Media,Communication Services,Media,ad-pepper-media-international
ADNGk,XETRA,Adesso,Information Technology,IT Services,adesso-ag
ADSGn,XETRA,Adidas,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",adidas-salomon?cid=23229
ADJ,XETRA,Adler,Real Estate,Real Estate Management & Development,ado-properties-sarl
ADDG,XETRA,Adler Modemaerkte AG,Consumer Discretionary,Specialty Retail,adler-modemarkte-ag
ADLG,XETRA,Adler Real Estate,Real Estate,Real Estate Management & Development,adler-real
P4JC,XETRA,Adm Energy,Energy,"Oil, Gas & Consumable Fuels",mx-oil?cid=1163911
ADAG,XETRA,Adva Optical,Information Technology,Communications Equipment,adva-exch
ADVVv,XETRA,ADVA Optical Networking SE,Information Technology,Communications Equipment,adva-optical-networking-se
BWQ,XETRA,Advanced Blockchain,Information Technology,Software,advanced-blockchain?cid=1173167
A62,XETRA,Advantag,Industrials,Construction & Engineering,advantag?cid=1173165
AEGN,XETRA,Aegon,Financial,Insurance,aegon?cid=963249
AHOG,XETRA,Ahold Delhaize,Consumer Staples,Food & Staples Retailing,ahold-kon?cid=1056254
EBE,XETRA,aifinyo AG,Financial,Diversified Financial Services,aifinyo-ag
AIG,XETRA,AIG,Financial,Insurance,american-intl-group?cid=963469
AIL,XETRA,Air Liquide,Materials,Chemicals,air-liquide?cid=963297
AIRG,XETRA,Airbus Group,Industrials,Aerospace & Defense,eads?cid=962988
AIXGn,XETRA,Aixtron,Information Technology,Semiconductors & Semiconductor Equipment,aixtron?cid=25361
AIXe,XETRA,Aixtron SE,,,aixtron-de
ASLG,XETRA,Akasol,Industrials,Electrical Equipment,akasol
NMIG,XETRA,Aladdin Blockchain,Healthcare,Health Care Technology,ae-new-media-innovations-se?cid=1176382
MTVG,XETRA,Albis Leasing,Financial,Diversified Financial Services,albis-leasing-ag
AHLAy,XETRA,Alibaba ADR,Consumer Discretionary,Internet & Direct Marketing Retail,alibaba?cid=1056243
A1OS,XETRA,All For One Steeb AG,Information Technology,IT Services,all-for-one-steeb-ag
LNSX,XETRA,Allane SE,Industrials,Road & Rail,sixt-leasing-ag
AEIGn,XETRA,Allgeier,Information Technology,IT Services,allgeier-se
ALVG,XETRA,Allianz,Financial,Insurance,allianz-ag?cid=23109
ABEA,XETRA,Alphabet A,Communication Services,Interactive Media & Services,google-inc?cid=963387
ABECG,XETRA,Alphabet C,Communication Services,Interactive Media & Services,google-inc-c?cid=963657
AOXG,XETRA,Alstria,Real Estate,Equity Real Estate Investment Trusts (REITs),alstria-office-reit-ag
MO,XETRA,Altria,Consumer Staples,Tobacco,altria-group?cid=963471
ACT1,XETRA,AlzChem Group,Materials,Chemicals,softmatic-ag?cid=1056289
AMDG,XETRA,Amadeus Fire AG,Industrials,Professional Services,amadeus-fire-ag
AMZN,XETRA,Amazon.com,Consumer Discretionary,Internet & Direct Marketing Retail,amazon-com-inc?cid=29501
AMD,XETRA,AMD,Information Technology,Semiconductors & Semiconductor Equipment,adv-micro-device?cid=963497
AMGN,XETRA,Amgen,Healthcare,Biotechnology,amgen-inc?cid=29505
ANDR,XETRA,Andritz AG,Industrials,Machinery,andritz-ag?cid=963363
AAL,XETRA,Anglo American,Materials,Metals & Mining,anglo-american?cid=29515
ABI,XETRA,Anheuser Busch Inbev,Consumer Staples,Beverages,anheuser-busch-inbev?cid=963541
APPHG,XETRA,Apontis Pharma AG,Healthcare,Pharmaceuticals,apontis-pharma-ag
AAPL,XETRA,Apple,Information Technology,"Technology Hardware, Storage & Peripherals",apple-computer-inc?cid=963008
AMAT,XETRA,Applied Materials,Information Technology,Semiconductors & Semiconductor Equipment,applied-matls-inc?cid=982158
ARRD,XETRA,ArcelorMittal,Materials,Metals & Mining,arcelormittal-reg?cid=963425
ADM,XETRA,Archer-Daniels-Midland,Consumer Staples,Food Products,archer-daniels-mid?cid=963475
47I,XETRA,Arconic,Materials,Metals & Mining,arconic-inc?cid=1163906
AT1,XETRA,Aroundtown,Real Estate,Real Estate Management & Development,aroundtown-property-holdings-plc?cid=961763
A6TG,XETRA,artec technologies,Information Technology,"Electronic Equipment, Instruments & Components",artec-technologies-ag
AYDGn,XETRA,Artnet AG,Consumer Discretionary,Internet & Direct Marketing Retail,artnet-ag?cid=962860
ACWNn,XETRA,AS Creation Tapeten,Consumer Discretionary,Household Durables,as-creation-tapeten-ag?cid=962861
ASKn,XETRA,asknet Solutions AG,Information Technology,IT Services,asknet-ag
ASME,XETRA,ASML Holding,Information Technology,Semiconductors & Semiconductor Equipment,asml-holding?cid=963429
GASI,XETRA,Assicurazioni Generali,Financial,Insurance,generali-ass?cid=963255
AZN,XETRA,AstraZeneca,Healthcare,Pharmaceuticals,astrazeneca?cid=29510
ATSV,XETRA,At&S Austria,Information Technology,"Electronic Equipment, Instruments & Components",at-s-austria?cid=963042
T,XETRA,AT&T,Communication Services,Diversified Telecommunication Services,at-t?cid=29393
AOFG,XETRA,Atoss AG,Information Technology,Software,atoss-software-ag
AAGG,XETRA,Aumann,Industrials,Misc. Capital Goods,aumann-ag?cid=1034495
AR4G,XETRA,Aurelius,Financial,Capital Markets,aurelius-ag
NAFG,XETRA,Aurubis AG,Materials,Metals & Mining,aurubis-ag?cid=1073867
AG1G,XETRA,Auto1,Consumer Discretionary,Specialty Retail,auto1-group?cid=1169593
AVES,XETRA,Aves One,Industrials,Trading Companies & Distributors,aves-one-ag
AXAF,XETRA,AXA,Financial,Insurance,axa?cid=29444
DTDGk,XETRA,B+S Banksysteme,Information Technology,Software,bs-banksysteme-ag
BLMG,XETRA,Baader Bank,Financial,Capital Markets,baader-bank-ag
BAC,XETRA,Bank of America,Financial,Banks,bank-of-america?cid=29392
BARC,XETRA,Barclays,Financial,Banks,barclays?cid=29420
ABX,XETRA,Barrick Gold,Materials,Metals & Mining,barrick-gold-corp.?cid=963563
BASFn,XETRA,BASF,Materials,Chemicals,basf-ag?cid=23434
BSLG,XETRA,Basler AG,Information Technology,"Electronic Equipment, Instruments & Components",basler-ag
BST1,XETRA,Bastei Lueb,Communication Services,Media,bastei-lueb
B5AG,XETRA,Bauer AG,Industrials,Construction & Engineering,bauer-ag
TINCk,XETRA,Baumot,Consumer Discretionary,Auto Components,twintec-ag
B8AG,XETRA,Bavaria Industries Group,Financial,Capital Markets,bavaria-industries-group-ag
BAYGn,XETRA,Bayer,Healthcare,Pharmaceuticals,bayer-ag?cid=23344
BYWG,XETRA,Baywa AG,Industrials,Trading Companies & Distributors,baywa-ag-na?cid=962864
BYWGnx,XETRA,Baywa Vink AG,Industrials,Trading Companies & Distributors,baywa-ag-vna
BIONn,XETRA,BB Biotech,Financial,Capital Markets,bb-biotech-ag-exch
BBVA,XETRA,BBVA,Financial,Banks,bbva?cid=29471
BC8G,XETRA,Bechtle AG,Information Technology,IT Services,bechtle-exch
BBBY,XETRA,Bed Bath&Beyond,Consumer Discretionary,Specialty Retail,bed-bath---beyond-inc?cid=1180413
BFSA,XETRA,Befesa,Industrials,Commercial Services & Supplies,befesa-sa
BEIG,XETRA,Beiersdorf AG,Consumer Staples,Personal Products,beiersdorf?cid=21580
BEZ,XETRA,Berentzen,Consumer Staples,Beverages,berentzen-gruppe-ag-de
BRKa,XETRA,Berkshire Hathaway A,Financial,Diversified Financial Services,berkshire-hathaway-inc?cid=963581
BRKb,XETRA,Berkshire Hathaway B,Financial,Diversified Financial Services,berkshire-hathaway?cid=963557
BDTG,XETRA,Bertrandt AG,Industrials,Professional Services,bertrandt
ARTG,XETRA,bet at homem,Consumer Discretionary,"Hotels, Restaurants & Leisure",bet-at-home-com-ag
