symbol,exchange,name,sector,industry,slug
8495,HK,1957 & Co Hospitality,Consumer Discretionary,"Hotels, Restaurants & Leisure",1957-co-hospitality
3601,HK,360 Ludashi,Communication Services,Interactive Media & Services,360-ludashi-holdings-ltd
1361,HK,361 Degrees Int,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",361-degrees
1530,HK,3SBio,Healthcare,Biotechnology,3sbio
2051,HK,51 Credit Card,Financial,Consumer Finance,51-credit-card-inc
0797,HK,7Road,Communication Services,Entertainment,7road-holdings-ltd
8088,HK,8088 Investment Holdings,Financial,Capital Markets,aid-partners-capital-hld
1737,HK,A & S Group,Industrials,Air Freight & Logistics,as-group-holdings-limited
3319,HK,A-Living Services,Real Estate,Real Estate Management & Development,a-living-services-co-ltd
0800,HK,A8 New Media,Communication Services,Entertainment,a8-new-media-group-ltd
2018,HK,AAC Technologies,Information Technology,"Electronic Equipment, Instruments & Components",aac-tech
2686,HK,AAG Energy Holdings Ltd,Energy,"Oil, Gas & Consumable Fuels",aag-energy-holdings-ltd
1615,HK,AB Builders Group,Industrials,Construction & Engineering,ab-builders-group
2256,HK,Abbisko Cayman,Healthcare,Biotechnology,abbisko-cayman
8131,HK,abc Multiactive,Information Technology,Software,abc-multiactive-ltd
1627,HK,Able Engineering,Industrials,Construction & Engineering,able-engineering-holdings-ltd
1283,HK,Accel,Industrials,Construction & Engineering,accel-group-holdings-ltd
0474,HK,Aceso Life Science,Financial,Consumer Finance,hao-tian-development-group-ltd
1870,HK,Acme Intl,Industrials,Construction & Engineering,acme-international-holdings-ltd
6669,HK,Acotec Scientific Holdings,Healthcare,Health Care Equipment & Supplies,acotec-scientific-holdings
9919,HK,Activation Gr,Communication Services,Media,activation-group-holdings-ltd
2623,HK,Add New Energy Investment,Materials,Metals & Mining,add-new-energy-investment-holdings
1163,HK,Adtiger,Communication Services,Media,adtiger-corp-ltd
0900,HK,Aeon Credit Service Asia,Financial,Consumer Finance,aeon-credit-service-asia-co-ltd
0984,HK,AEON Stores Hong Kong,Consumer Discretionary,Multiline Retail,aeon-stores-hong-kong-co-ltd?cid=990557
8572,HK,Aeso Holding,Consumer Discretionary,Diversified Consumer Services,aeso-holding
8341,HK,Aeso Holding,Consumer Discretionary,Diversified Consumer Services,aeso-holding-ltd
1757,HK,Affluent Foundation,Industrials,Construction & Engineering,affluent-foundation-holdings-ltd
1466,HK,Affluent Partners,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",man-sang-jewellery-holdings-ltd
3383,HK,Agile Group,Real Estate,Real Estate Management & Development,agile-property
1288,HK,Agricultural Bank Of China,Financial,Banks,agricultural-bank-of-china
1131,HK,Agritrade,Energy,"Oil, Gas & Consumable Fuels",haitong-international-securities
8279,HK,AGTech,Information Technology,IT Services,agtech-holding
8290,HK,Ahsay Backup Software Development,Information Technology,Software,ahsay-backup-software-development-c
1299,HK,AIA Group,Financial,Insurance,aia-group
