symbol,exchange,name,sector,industry,slug
TSVT-RM,MCX,2Seventy Bio,Healthcare,Biotechnology,2seventy-bio?cid=1180705
TWOU-RM,MCX,2U Inc,Consumer Discretionary,Diversified Consumer Services,2u-inc?cid=1185384
MMM-RM,MCX,3M,Industrials,Industrial Conglomerates,3m-co?cid=1172690
EGHT-RM,MCX,8x8,Information Technology,Software,8x8-inc?cid=1185084
ABT-RM,MCX,Abbott Labs,Healthcare,Health Care Equipment & Supplies,abbott-laboratories?cid=1169909
ABBV-RM,MCX,AbbVie,Healthcare,Biotechnology,abbvie-inc?cid=1167266
ANF-RM,MCX,Abercrombie&Fitch,Consumer Discretionary,Specialty Retail,aberc-fitch-a?cid=1185078
ABMD-RM,MCX,ABIOMED,Healthcare,Health Care Equipment & Supplies,abiomed?cid=1177911
ABRD,MCX,Abrau Durso OAO,Consumer Staples,Beverages,abrau-durso-oao
ASO-RM,MCX,Academy Sports,Consumer Discretionary,Specialty Retail,academy-sports-outdoors-inc?cid=1184110
ACAD-RM,MCX,ACADIA,Healthcare,Biotechnology,acadia-pharmaceuticals?cid=1177290
ATVI-RM,MCX,Activision Blizzard,Communication Services,Entertainment,activision-inc?cid=1165933
ADBE-RM,MCX,Adobe,Information Technology,Software,adobe-sys-inc?cid=1167265
ADP-RM,MCX,ADP,Information Technology,IT Services,auto-data-process?cid=1177292
AAP-RM,MCX,Advance Auto Parts,Consumer Discretionary,Specialty Retail,advance-auto-parts?cid=1180677
AFLT,MCX,Aeroflot,Industrials,Airlines,aeroflot
AFKS,MCX,AFK Sistema,Communication Services,Wireless Telecommunication Services,afk-sistema_rts
AFL-RM,MCX,Aflac,Financial,Insurance,aflac-inc?cid=1177293
A-RM,MCX,Agilent Technologies,Healthcare,Life Sciences Tools & Services,agilent-tech?cid=1179710
AIG-RM,MCX,AIG,Financial,Insurance,american-intl-group?cid=1178089
APD-RM,MCX,Air Products,Materials,Chemicals,air-prods---chem?cid=1177298
ABNB-RM,MCX,Airbnb,Consumer Discretionary,"Hotels, Restaurants & Leisure",airbnb-inc?cid=1180675
TRNF_p,MCX,AK Transneft Pref,Energy,"Oil, Gas & Consumable Fuels",transneft-p_rts
AKAM-RM,MCX,Akamai,Information Technology,IT Services,akamai-technologies-inc?cid=1179721
AVAN,MCX,AKB Avangard OAO,Financial,Banks,akb-avangard-oao
PRMB,MCX,Akb Primorye OAO,Financial,Banks,akb-primorye-oao
ROSB,MCX,AKB Rosbank,Financial,Banks,rosbank
AKRN,MCX,Akron,Materials,Chemicals,akron_rts
ALK-RM,MCX,Alaska Air,Industrials,Airlines,alaska-air?cid=1179705
ALB-RM,MCX,Albemarle,Materials,Chemicals,albemarle?cid=1177295
AA-RM,MCX,Alcoa,Materials,Metals & Mining,alcoa?cid=1177926
BABA-RMDR,MCX,Alibaba ADR,Consumer Discretionary,Internet & Direct Marketing Retail,alibaba?cid=1167268
ALGN-RM,MCX,Align,Healthcare,Health Care Equipment & Supplies,align-technology?cid=1180678
LNT-RM,MCX,Alliant Energy,Utilities,Electric Utilities,alliant-energy?cid=1179727
MDRX-RM,MCX,Allscripts,Healthcare,Health Care Technology,allscripts-misys-healthcre-solution?cid=1185375
ALL-RM,MCX,Allstate,Financial,Insurance,allstate-corporation?cid=1179703
