symbol,exchange,name,sector,industry,slug
FLWS,NASDAQ,1-800 FLOWERS.COM,Consumer Discretionary,Internet & Direct Marketing Retail,1-800-flowers.com
VCXA,NASDAQ,10X Capital Venture Acquisition II,Financial,Capital Markets,10x-capital-venture-acquisition-ii
VCXAU,NASDAQ,10X Capital Venture Acquisition II,Financial,Capital Markets,10x-capital-venture-acq-ii-unt
TXG,NASDAQ,10X Genomics,Healthcare,Life Sciences Tools & Services,10x-genomics-inc
YI,NASDAQ,111 Inc,Consumer Staples,Food & Staples Retailing,111-inc
YQ,NASDAQ,17 Education Tech,Consumer Discretionary,Diversified Consumer Services,17-education-technology-group
TURN,NASDAQ,180 Degree Capital,Financial,Capital Markets,harris---harris-g
ATNF,NASDAQ,180 Life Sciences,Healthcare,Biotechnology,kbl-merger-iv
BCOW,NASDAQ,1895 of Wisconsin,Financial,Thrifts & Mortgage Finance,1895-of-wisconsin
ONEM,NASDAQ,1Life Healthcare,Healthcare,Health Care Providers & Services,1life-healthcare-inc
FCCY,NASDAQ,1st Constitution Bancorp,Financial,Banks,1st-constitution
SRCE,NASDAQ,1st Source,Financial,Banks,1st-source-corp
DIBS,NASDAQ,1Stdibs.Com,Consumer Discretionary,Internet & Direct Marketing Retail,1stdibs.com
XXII,NASDAQ,22nd Century,Consumer Staples,Tobacco,22nd-cntry
ME,NASDAQ,23Andme Holding Co,Healthcare,Health Care Providers & Services,vg-acquisition
ADER,NASDAQ,26 Capital Acquisition,Financial,Capital Markets,26-capital-acquisition
ADERU,NASDAQ,26 Capital Acquisition,Financial,Capital Markets,26-capital-acquisition-unt
TSVT,NASDAQ,2Seventy Bio,Healthcare,Biotechnology,2seventy-bio
TWOU,NASDAQ,2U Inc,Consumer Discretionary,Diversified Consumer Services,2u-inc
QFIN,NASDAQ,360 Finance,Financial,Consumer Finance,360-finance-inc
KRKR,NASDAQ,36Kr Holdings,Communication Services,Interactive Media & Services,36kr-holdings-inc
SCWO,NASDAQ,374Water,Industrials,Commercial Services & Supplies,374water-otc?cid=1192308
FDMT,NASDAQ,4D Molecular,Healthcare,Biotechnology,4d-molecular-therapeutics
LBPS,NASDAQ,4D Pharma ADR,Healthcare,Pharmaceuticals,longevity-acquisition
FVAM,NASDAQ,5 01 Acq,Financial,Capital Markets,5-01-acquisition-corp
JOBS,NASDAQ,51job,Industrials,Professional Services,51job
FEAM,NASDAQ,5E Advanced Materials,Materials,Metals & Mining,5e-advanced-materials
SVNA,NASDAQ,7 Acquisition,Financial,Capital Markets,7-acquisition
SVNAU,NASDAQ,7 Acquisition Unt,Financial,Capital Markets,7-acquisition-unt
VIIAU,NASDAQ,7GC Holdings Co,Financial,Capital Markets,7gcs-unt
VII,NASDAQ,7GC Holdings Co,Financial,Capital Markets,7gc-holdings-co
ETNB,NASDAQ,89bio,Healthcare,Biotechnology,89bio-inc
