symbol,exchange,name,sector,industry,slug
2608,HK,Sunshine 100 China,Недвижимость,Операции с недвижимостью,sunshine-100-china-holdings-ltd
1010,HK,Sky Blue 11,Промышленность,Транспортная инфраструктура,pacray-international-holdings-ltd
8495,HK,1957 & Co Hospitality,Потребительские товары выборочного спроса,Гостиничные и развлекательные услуги,1957-co-hospitality
8451,HK,Sunlight 1977,Сырье,Контейнерные перевозки и упаковка,sunlight-1977-holdings-ltd
1598,HK,China 21st Century Education Gr,Образовательные услуги,Профессиональное и бизнес-образование,china-21st-century-education-group
8087,HK,China 33 Media,Потребительские товары выборочного спроса,СМИ и издательское дело,china-33-media-group-ltd
2360,HK,Best Mart 360,Потребительские товары повседневного спроса,Розничная торговля едой и лекарствами,best-mart-360-holdings
3601,HK,360 Ludashi,Технологии,Программное обеспечение и ИТ-услуги,360-ludashi-holdings-ltd
1361,HK,361 Degrees Int,Потребительские товары выборочного спроса,Текстиль и одежда,361-degrees
1244,HK,3D Medicines Biotechnology Shanghai,Здравоохранение,Фармацевтические компании,3d-medicines-biotechnology-shanghai
1530,HK,3SBio,Здравоохранение,Фармацевтические компании,3sbio
2051,HK,51 Credit Card,Технологии,Финансовые технологии (финтех) и инфраструктура,51-credit-card-inc
0797,HK,7Road,Технологии,Программное обеспечение и ИТ-услуги,7road-holdings-ltd
0251,HK,S E A,Недвижимость,Операции с недвижимостью,s-e-a-holdings-ltd
8195,HK,L & A Intl,Образовательные услуги,Профессиональное и бизнес-образование,l-a-international-holdings-ltd
3319,HK,A-Living Services,Недвижимость,Операции с недвижимостью,a-living-services-co-ltd
1483,HK,Net A Go Technology,Промышленность,Профессиональные и коммерческие услуги,u-banquet-group-holding-ltd
1737,HK,A & S Group,Промышленность,Транспортные и логистические услуги,as-group-holdings-limited
0800,HK,A8 New Media,Недвижимость,Операции с недвижимостью,a8-new-media-group-ltd
2018,HK,AAC Technologies,Технологии,Электронное оборудование и запчасти,aac-tech
1615,HK,AB Builders Group,Промышленность,Профессиональные и коммерческие услуги,ab-builders-group
2256,HK,Abbisko Cayman,Здравоохранение,Биотехнологии и медицинские исследования,abbisko-cayman
8131,HK,abc Multiactive,Технологии,Финансовые технологии (финтех) и инфраструктура,abc-multiactive-ltd
1627,HK,Able Engineering,Промышленность,Строительство и проектирование,able-engineering-holdings-ltd
1283,HK,Accel,Промышленность,Строительство и проектирование,accel-group-holdings-ltd
6036,HK,Apex Ace Holding,Технологии,"Компьютеры, телефоны и бытовая электроника",apex-ace-holding-limited
0474,HK,Aceso Life Science,Промышленность,"Оборудование, инструменты, автомобили большой грузоподъемности, железнодорожный и водный транспорт",hao-tian-development-group-ltd
1870,HK,Acme Intl,Промышленность,"Оборудование, инструменты, автомобили большой грузоподъемности, железнодорожный и водный транспорт",acme-international-holdings-ltd
6669,HK,Acotec Scientific Holdings,Здравоохранение,Оборудование и др. поставки для системы здравоохранения,acotec-scientific-holdings
7836,HK,Aquila Acquisition,Финансы,Инвестиционные холдинги,aquila-acquisition
7801,HK,Interra Acquisition,Финансы,Инвестиционные холдинги,interra-acquisition
7827,HK,Vision Deal HK Acquisition,Финансы,Инвестиционные холдинги,vision-deal-hk-acquisition
7855,HK,TechStar Acquisition,Финансы,Инвестиционные холдинги,techstar-acquisition
7841,HK,HK Acquisition,Финансы,Инвестиционные холдинги,hk-acquisition
9919,HK,Activation Gr,Потребительские товары выборочного спроса,СМИ и издательское дело,activation-group-holdings-ltd
2623,HK,Add New Energy Investment,Сырье,Металлургия и горнодобывающая промышленность,add-new-energy-investment-holdings
9860,HK,Adicon Holdings,Здравоохранение,Учреждения и услуги здравоохранения,adicon-holdings
1163,HK,Adtiger,Потребительские товары выборочного спроса,СМИ и издательское дело,adtiger-corp-ltd
6189,HK,Guangdong Adway,Промышленность,Строительство и проектирование,guangdong-adway-construction
0900,HK,Aeon Credit Service Asia,Финансы,Банковские услуги,aeon-credit-service-asia-co-ltd
0984,HK,AEON Stores Hong Kong,Потребительские товары выборочного спроса,Диверсифицированные розничные товары,aeon-stores-hong-kong-co-ltd?cid=990557
0031,HK,China Aerospace International,Промышленность,"Оборудование, инструменты, автомобили большой грузоподъемности, железнодорожный и водный транспорт",china-aerospace-international?cid=990030
0232,HK,Continental Aerospace Technologies Holding,Промышленность,Аэрокосмическая и оборонная промышленность,avic-international-holding-hk
8341,HK,Aeso Holding,Потребительские товары выборочного спроса,Специализированные розничные торговцы,aeso-holding-ltd
2135,HK,Raily Aesthetic,Здравоохранение,Учреждения и услуги здравоохранения,raily-aesthetic-medicine-intl-hldg
0855,HK,China Water Affairs Group Ltd,Коммунальные услуги,Водоснабжающие и коммунальные компании,china-water-affairs-group-ltd
1466,HK,Affluent Partners,Потребительские товары выборочного спроса,Текстиль и одежда,man-sang-jewellery-holdings-ltd
1757,HK,Affluent Foundation,Промышленность,Строительство и проектирование,affluent-foundation-holdings-ltd
3383,HK,Agile Group,Недвижимость,Операции с недвижимостью,agile-property
0149,HK,China Agri Products,Потребительские товары повседневного спроса,Розничная торговля едой и лекарствами,china-agri-products-exchange
1288,HK,Agricultural Bank Of China,Финансы,Банковские услуги,agricultural-bank-of-china
0542,HK,China Cultural Tourism Agriculture,Недвижимость,Операции с недвижимостью,ceneric-holdings-ltd
0682,HK,Chaoda Modern Agriculture,Потребительские товары повседневного спроса,Еда и табачные изделия,chaoda-modern-agriculture-hldg
2419,HK,DEKON Food and Agriculture,Потребительские товары повседневного спроса,Еда и табачные изделия,dekon-food-and-agriculture
8279,HK,AGTech,Потребительские товары выборочного спроса,Гостиничные и развлекательные услуги,agtech-holding
0391,HK,Mei Ah Entertainment,Потребительские товары выборочного спроса,СМИ и издательское дело,mei-ah-entertainment-group
8290,HK,Ahsay Backup Software Development,Технологии,Программное обеспечение и ИТ-услуги,ahsay-backup-software-development-c
1140,HK,Wealthink AI Innovation Capital,Финансы,Инвестиционно-банковские и инвестиционные услуги,op-financial-investments-ltd
81299,HK,AIA,Финансы,Страхование,aia
1299,HK,Aia Group,Финансы,Страхование,aia-group
0286,HK,Aidigong Maternal Child Health,Здравоохранение,Учреждения и услуги здравоохранения,common-splendor-international-healt
6660,HK,AIM Vaccine,Здравоохранение,Фармацевтические компании,aim-vaccine
2121,HK,Qingdao AInnovation Tech,Технологии,Программное обеспечение и ИТ-услуги,china-first-chemical-holdings-ltd
0753,HK,Air China Ltd,Промышленность,Услуги пассажирских перевозок,air-china
1848,HK,China Aircraft Leasing Group Hold,Финансы,Банковские услуги,china-aircraft-leasing-group-hold
2251,HK,Beijing Airdoc Technology,Здравоохранение,Оборудование и др. поставки для системы здравоохранения,beijing-airdoc-technology
1055,HK,China Southern Airlines,Промышленность,Услуги пассажирских перевозок,china-south-ai
0670,HK,China Eastern Airlines,Промышленность,Услуги пассажирских перевозок,china-east-air
0694,HK,Beijing Capital Int Airport,Промышленность,Транспортная инфраструктура,beijing-airpor
0357,HK,Hainan Meilan International Airport,Промышленность,Транспортная инфраструктура,hna-infrastructure-co-ltd
0293,HK,Cathay Airways,Промышленность,Услуги пассажирских перевозок,cathay-pac-air
0538,HK,Ajisen China Holdings,Потребительские товары выборочного спроса,Гостиничные и развлекательные услуги,ajisen-(china)
1789,HK,AK Medical,Здравоохранение,Оборудование и др. поставки для системы здравоохранения,ak-medical
9926,HK,Akeso,Здравоохранение,Биотехнологии и медицинские исследования,akeso-inc
8360,HK,Al Group,Промышленность,Строительство и проектирование,al-group-ltd
0328,HK,Alco,Технологии,"Компьютеры, телефоны и бытовая электроника",alco-holdings-ltd
0241,HK,Alibaba Health Information Tech,Потребительские товары выборочного спроса,Диверсифицированные розничные товары,alibaba-health-info-tech-ltd
1060,HK,Alibaba Pictures,Потребительские товары выборочного спроса,СМИ и издательское дело,alibaba-pictures-group-ltd
9988,HK,Alibaba,Технологии,Программное обеспечение и ИТ-услуги,alibaba-group-holding-hk
89988,HK,Alibaba Holding,Технологии,Программное обеспечение и ИТ-услуги,alibaba-holding
8170,HK,China All Nation International Holdings,Недвижимость,Операции с недвижимостью,ksl-holdings-ltd
0684,HK,Allan Intl,Потребительские товары выборочного спроса,Хозяйственные товары,allan-international-holdings-ltd
0550,HK,Allegro Culture,Потребительские товары выборочного спроса,СМИ и издательское дело,cinderella-media-group-ltd
1425,HK,Justin Allen,Потребительские товары выборочного спроса,Текстиль и одежда,justin-allen-holdings-ltd
1563,HK,International Alliance,Финансы,Банковские услуги,intl-alliance-financial-leasing
1629,HK,Champion Alliance International Holdings,Коммунальные услуги,Водоснабжающие и коммунальные компании,mengke-holdings-ltd
0385,HK,Chinney Alliance,Промышленность,Строительство и проектирование,chinney-alliance-group-ltd
1001,HK,Hong Kong Shanghai Alliance,Сырье,Металлургия и горнодобывающая промышленность,hong-kong-shanghai-alliance-holding
1039,HK,Changyou Alliance,Технологии,Программное обеспечение и ИТ-услуги,fortunet-e-commerce-group-ltd
0373,HK,Allied,Финансы,Банковские услуги,allied-group-ltd
0711,HK,Asia Allied Infrastructure,Промышленность,Строительство и проектирование,china-city-construction-group-holdi
8320,HK,Allied Sustainability Environmental,Промышленность,Профессиональные и коммерческие услуги,allied-sustainability-environmental
0505,HK,Xingye Alloy Materials,Сырье,Металлургия и горнодобывающая промышленность,huan-yue-interactive-holdings-ltd
0833,HK,Alltronics,Технологии,Электронное оборудование и запчасти,alltronics-holdings-ltd
8305,HK,Allurefem Holding,Промышленность,Строительство и проектирование,tong-kee-holding
9918,HK,Wise Ally Int,Технологии,Электронное оборудование и запчасти,wise-ally-intl-holdings-ltd
8186,HK,Almana,Сырье,Бумага и изделия из древесины,ir-resources
0948,HK,Alpha Professional Holdings,Потребительские товары повседневного спроса,Розничная торговля едой и лекарствами,alpha-professional-holdings-ltd
9966,HK,Alphamab,Здравоохранение,Биотехнологии и медицинские исследования,alphamab-oncology
